Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F1,256,GWO,2,parallel,31.022051
F1,256,GWO,2,hybrid,31.181087
F1,256,GWO,4,parallel,8.602407
F1,256,GWO,4,hybrid,8.412592
F1,256,GWO,8,parallel,2.782637
F1,256,GWO,8,hybrid,2.768529
F1,256,GWO,16,parallel,1.266575
F1,256,GWO,16,hybrid,1.207005
F1,256,GWO,32,parallel,1.334378
F1,256,GWO,32,hybrid,1.388769
F1,256,GWO,64,parallel,3.678644
F1,256,GWO,64,hybrid,3.639578
F1,256,HGT-GWO,2,parallel,23.204489
F1,256,HGT-GWO,2,hybrid,23.593319
F1,256,HGT-GWO,4,parallel,6.561878
F1,256,HGT-GWO,4,hybrid,6.046895
F1,256,HGT-GWO,8,parallel,1.810059
F1,256,HGT-GWO,8,hybrid,1.915591
F1,256,HGT-GWO,16,parallel,0.878692
F1,256,HGT-GWO,16,hybrid,0.953635
F1,256,HGT-GWO,32,parallel,1.302072
F1,256,HGT-GWO,32,hybrid,1.29862
F1,256,HGT-GWO,64,parallel,4.095574
F1,256,HGT-GWO,64,hybrid,4.257563
F1,512,GWO,2,parallel,36.162658
F1,512,GWO,2,hybrid,35.864122
F1,512,GWO,4,parallel,11.187462
F1,512,GWO,4,hybrid,11.088571
F1,512,GWO,8,parallel,4.052515
F1,512,GWO,8,hybrid,4.072999
F1,512,GWO,16,parallel,1.720478
F1,512,GWO,16,hybrid,1.636948
F1,512,GWO,32,parallel,1.73518
F1,512,GWO,32,hybrid,1.674047
F1,512,GWO,64,parallel,4.199083
F1,512,GWO,64,hybrid,3.856714
F1,512,HGT-GWO,2,parallel,25.793297
F1,512,HGT-GWO,2,hybrid,26.104358
F1,512,HGT-GWO,4,parallel,7.514
F1,512,HGT-GWO,4,hybrid,7.447057
F1,512,HGT-GWO,8,parallel,2.427933
F1,512,HGT-GWO,8,hybrid,2.514924
F1,512,HGT-GWO,16,parallel,1.172727
F1,512,HGT-GWO,16,hybrid,1.157845
F1,512,HGT-GWO,32,parallel,1.544927
F1,512,HGT-GWO,32,hybrid,1.605352
F1,512,HGT-GWO,64,parallel,4.063285
F1,512,HGT-GWO,64,hybrid,4.369571
F1,1024,GWO,2,parallel,41.188094
F1,1024,GWO,2,hybrid,40.882982
F1,1024,GWO,4,parallel,14.535789
F1,1024,GWO,4,hybrid,14.340044
F1,1024,GWO,8,parallel,6.075394
F1,1024,GWO,8,hybrid,5.774328
F1,1024,GWO,16,parallel,3.02038
F1,1024,GWO,16,hybrid,2.934657
F1,1024,GWO,32,parallel,2.068152
F1,1024,GWO,32,hybrid,1.995991
F1,1024,GWO,64,parallel,4.207422
F1,1024,GWO,64,hybrid,4.115222
F1,1024,HGT-GWO,2,parallel,27.297332
F1,1024,HGT-GWO,2,hybrid,27.427288
F1,1024,HGT-GWO,4,parallel,8.605901
F1,1024,HGT-GWO,4,hybrid,8.84761
F1,1024,HGT-GWO,8,parallel,3.378585
F1,1024,HGT-GWO,8,hybrid,3.382748
F1,1024,HGT-GWO,16,parallel,1.870281
F1,1024,HGT-GWO,16,hybrid,1.932698
F1,1024,HGT-GWO,32,parallel,1.77202
F1,1024,HGT-GWO,32,hybrid,1.964363
F1,1024,HGT-GWO,64,parallel,4.263997
F1,1024,HGT-GWO,64,hybrid,4.034842
F2,256,GWO,2,parallel,30.219546
F2,256,GWO,2,hybrid,30.406218
F2,256,GWO,4,parallel,8.613899
F2,256,GWO,4,hybrid,8.762482
F2,256,GWO,8,parallel,2.847789
F2,256,GWO,8,hybrid,2.833237
F2,256,GWO,16,parallel,1.286264
F2,256,GWO,16,hybrid,1.249033
F2,256,GWO,32,parallel,1.349848
F2,256,GWO,32,hybrid,1.277355
F2,256,GWO,64,parallel,3.751723
F2,256,GWO,64,hybrid,3.591342
F2,256,HGT-GWO,2,parallel,22.475855
F2,256,HGT-GWO,2,hybrid,21.426732
F2,256,HGT-GWO,4,parallel,5.949572
F2,256,HGT-GWO,4,hybrid,5.947971
F2,256,HGT-GWO,8,parallel,1.781823
F2,256,HGT-GWO,8,hybrid,1.698833
F2,256,HGT-GWO,16,parallel,0.869369
F2,256,HGT-GWO,16,hybrid,0.925511
F2,256,HGT-GWO,32,parallel,1.269033
F2,256,HGT-GWO,32,hybrid,1.255546
F2,256,HGT-GWO,64,parallel,4.148514
F2,256,HGT-GWO,64,hybrid,3.745733
F2,512,GWO,2,parallel,34.084409
F2,512,GWO,2,hybrid,33.995921
F2,512,GWO,4,parallel,10.694567
F2,512,GWO,4,hybrid,10.491612
F2,512,GWO,8,parallel,3.992797
F2,512,GWO,8,hybrid,3.944723
F2,512,GWO,16,parallel,1.659666
F2,512,GWO,16,hybrid,1.600986
F2,512,GWO,32,parallel,1.64706
F2,512,GWO,32,hybrid,1.535474
F2,512,GWO,64,parallel,3.943869
F2,512,GWO,64,hybrid,3.221699
F2,512,HGT-GWO,2,parallel,24.401679
F2,512,HGT-GWO,2,hybrid,24.769369
F2,512,HGT-GWO,4,parallel,6.970199
F2,512,HGT-GWO,4,hybrid,7.148537
F2,512,HGT-GWO,8,parallel,2.361648
F2,512,HGT-GWO,8,hybrid,2.428808
F2,512,HGT-GWO,16,parallel,1.090477
F2,512,HGT-GWO,16,hybrid,1.171209
F2,512,HGT-GWO,32,parallel,1.470542
F2,512,HGT-GWO,32,hybrid,1.665699
F2,512,HGT-GWO,64,parallel,4.102631
F2,512,HGT-GWO,64,hybrid,4.031393
F2,1024,GWO,2,parallel,38.523105
F2,1024,GWO,2,hybrid,38.685959
F2,1024,GWO,4,parallel,13.937222
F2,1024,GWO,4,hybrid,13.774443
F2,1024,GWO,8,parallel,5.762038
F2,1024,GWO,8,hybrid,5.77468
F2,1024,GWO,16,parallel,2.973314
F2,1024,GWO,16,hybrid,2.925354
F2,1024,GWO,32,parallel,2.116433
