Function,Dimension,Algorithm,Cores,File Type,Convergence Iterations
F1,256,GWO,1,serial,176
F1,256,GWO,2,parallel,500
F1,256,GWO,2,hybrid,500
F1,256,GWO,4,parallel,500
F1,256,GWO,4,hybrid,500
F1,256,GWO,8,parallel,500
F1,256,GWO,8,hybrid,500
F1,256,GWO,16,parallel,500
F1,256,GWO,16,hybrid,500
F1,256,GWO,32,parallel,500
F1,256,GWO,32,hybrid,500
F1,256,GWO,64,parallel,500
F1,256,GWO,64,hybrid,500
F1,256,HGT-GWO,1,serial,78
F1,256,HGT-GWO,2,parallel,230
F1,256,HGT-GWO,2,hybrid,230
F1,256,HGT-GWO,4,parallel,230
F1,256,HGT-GWO,4,hybrid,235
F1,256,HGT-GWO,8,parallel,235
F1,256,HGT-GWO,8,hybrid,240
F1,256,HGT-GWO,16,parallel,235
F1,256,HGT-GWO,16,hybrid,240
F1,256,HGT-GWO,32,parallel,255
F1,256,HGT-GWO,32,hybrid,245
F1,256,HGT-GWO,64,parallel,265
F1,256,HGT-GWO,64,hybrid,270
F1,512,GWO,1,serial,319
F1,512,GWO,2,parallel,500
F1,512,GWO,2,hybrid,500
F1,512,GWO,4,parallel,500
F1,512,GWO,4,hybrid,500
F1,512,GWO,8,parallel,500
F1,512,GWO,8,hybrid,500
F1,512,GWO,16,parallel,500
F1,512,GWO,16,hybrid,500
F1,512,GWO,32,parallel,500
F1,512,GWO,32,hybrid,500
F1,512,GWO,64,parallel,500
F1,512,GWO,64,hybrid,500
F1,512,HGT-GWO,1,serial,96
F1,512,HGT-GWO,2,parallel,475
F1,512,HGT-GWO,2,hybrid,500
F1,512,HGT-GWO,4,parallel,495
F1,512,HGT-GWO,4,hybrid,500
F1,512,HGT-GWO,8,parallel,500
F1,512,HGT-GWO,8,hybrid,500
F1,512,HGT-GWO,16,parallel,500
F1,512,HGT-GWO,16,hybrid,500
F1,512,HGT-GWO,32,parallel,500
F1,512,HGT-GWO,32,hybrid,500
F1,512,HGT-GWO,64,parallel,500
F1,512,HGT-GWO,64,hybrid,500
F1,1024,GWO,1,serial,500
F1,1024,GWO,2,parallel,500
F1,1024,GWO,2,hybrid,500
F1,1024,GWO,4,parallel,500
F1,1024,GWO,4,hybrid,500
F1,1024,GWO,8,parallel,500
F1,1024,GWO,8,hybrid,500
F1,1024,GWO,16,parallel,500
F1,1024,GWO,16,hybrid,500
F1,1024,GWO,32,parallel,500
F1,1024,GWO,32,hybrid,500
F1,1024,GWO,64,parallel,500
F1,1024,GWO,64,hybrid,500
F1,1024,HGT-GWO,1,serial,110
F1,1024,HGT-GWO,2,parallel,500
F1,1024,HGT-GWO,2,hybrid,500
F1,1024,HGT-GWO,4,parallel,500
F1,1024,HGT-GWO,4,hybrid,500
F1,1024,HGT-GWO,8,parallel,500
F1,1024,HGT-GWO,8,hybrid,500
F1,1024,HGT-GWO,16,parallel,500
F1,1024,HGT-GWO,16,hybrid,500
F1,1024,HGT-GWO,32,parallel,500
F1,1024,HGT-GWO,32,hybrid,500
F1,1024,HGT-GWO,64,parallel,500
F1,1024,HGT-GWO,64,hybrid,500
F2,256,GWO,1,serial,327
F2,256,GWO,2,parallel,500
F2,256,GWO,2,hybrid,500
F2,256,GWO,4,parallel,500
F2,256,GWO,4,hybrid,500
F2,256,GWO,8,parallel,500
F2,256,GWO,8,hybrid,500
F2,256,GWO,16,parallel,500
F2,256,GWO,16,hybrid,500
F2,256,GWO,32,parallel,500
F2,256,GWO,32,hybrid,500
F2,256,GWO,64,parallel,500
F2,256,GWO,64,hybrid,500
F2,256,HGT-GWO,1,serial,125
F2,256,HGT-GWO,2,parallel,335
F2,256,HGT-GWO,2,hybrid,330
F2,256,HGT-GWO,4,parallel,340
F2,256,HGT-GWO,4,hybrid,345
F2,256,HGT-GWO,8,parallel,355
F2,256,HGT-GWO,8,hybrid,350
F2,256,HGT-GWO,16,parallel,350
F2,256,HGT-GWO,16,hybrid,360
F2,256,HGT-GWO,32,parallel,370
F2,256,HGT-GWO,32,hybrid,355
F2,256,HGT-GWO,64,parallel,380
F2,256,HGT-GWO,64,hybrid,380
F2,512,GWO,1,serial,500
F2,512,GWO,2,parallel,500
F2,512,GWO,2,hybrid,500
F2,512,GWO,4,parallel,500
F2,512,GWO,4,hybrid,500
F2,512,GWO,8,parallel,500
F2,512,GWO,8,hybrid,500
F2,512,GWO,16,parallel,500
F2,512,GWO,16,hybrid,500
F2,512,GWO,32,parallel,500
F2,512,GWO,32,hybrid,500
F2,512,GWO,64,parallel,500
F2,512,GWO,64,hybrid,500
F2,512,HGT-GWO,1,serial,156
F2,512,HGT-GWO,2,parallel,500
F2,512,HGT-GWO,2,hybrid,500
F2,512,HGT-GWO,4,parallel,500
F2,512,HGT-GWO,4,hybrid,500
F2,512,HGT-GWO,8,parallel,500
F2,512,HGT-GWO,8,hybrid,500
F2,512,HGT-GWO,16,parallel,500
F2,512,HGT-GWO,16,hybrid,500
F2,512,HGT-GWO,32,parallel,500
F2,512,HGT-GWO,32,hybrid,500
F2,512,HGT-GWO,64,parallel,500
F2,512,HGT-GWO,64,hybrid,500
F2,1024,GWO,1,serial,500
F2,1024,GWO,2,parallel,500
F2,1024,GWO,2,hybrid,500
F2,1024,GWO,4,parallel,500
F2,1024,GWO,4,hybrid,500
F2,1024,GWO,8,parallel,500
F2,1024,GWO,8,hybrid,500
F2,1024,GWO,16,parallel,500
F2,1024,GWO,16,hybrid,500
F2,1024,GWO,32,parallel,500
F2,1024,GWO,32,hybrid,500
F2,1024,GWO,64,parallel,500
F2,1024,GWO,64,hybrid,500
F2,1024,HGT-GWO,1,serial,181
F2,1024,HGT-GWO,2,parallel,500
F2,1024,HGT-GWO,2,hybrid,500
F2,1024,HGT-GWO,4,parallel,500
F2,1024,HGT-GWO,4,hybrid,500
F2,1024,HGT-GWO,8,parallel,500
F2,1024,HGT-GWO,8,hybrid,500
F2,1024,HGT-GWO,16,parallel,500
F2,1024,HGT-GWO,16,hybrid,500
F2,1024,HGT-GWO,32,parallel,500
F2,1024,HGT-GWO,32,hybrid,500
F2,1024,HGT-GWO,64,parallel,500
F2,1024,HGT-GWO,64,hybrid,500
F3,256,GWO,1,serial,500
F3,256,GWO,2,parallel,500
F3,256,GWO,2,hybrid,500
F3,256,GWO,4,parallel,500
F3,256,GWO,4,hybrid,500
F3,256,GWO,8,parallel,500
F3,256,GWO,8,hybrid,500
F3,256,GWO,16,parallel,500
F3,256,GWO,16,hybrid,500
F3,256,GWO,32,parallel,500
F3,256,GWO,32,hybrid,500
F3,256,GWO,64,parallel,500
F3,256,GWO,64,hybrid,500
F3,256,HGT-GWO,1,serial,131
F3,256,HGT-GWO,2,parallel,330
F3,256,HGT-GWO,2,hybrid,325
F3,256,HGT-GWO,4,parallel,315
F3,256,HGT-GWO,4,hybrid,310
F3,256,HGT-GWO,8,parallel,325
F3,256,HGT-GWO,8,hybrid,340
F3,256,HGT-GWO,16,parallel,310
F3,256,HGT-GWO,16,hybrid,320
F3,256,HGT-GWO,32,parallel,310
F3,256,HGT-GWO,32,hybrid,335
F3,256,HGT-GWO,64,parallel,320
F3,256,HGT-GWO,64,hybrid,380
F3,512,GWO,1,serial,500
F3,512,GWO,2,parallel,500
F3,512,GWO,2,hybrid,500
F3,512,GWO,4,parallel,500
F3,512,GWO,4,hybrid,500
F3,512,GWO,8,parallel,500
F3,512,GWO,8,hybrid,500
F3,512,GWO,16,parallel,500
F3,512,GWO,16,hybrid,500
F3,512,GWO,32,parallel,500
F3,512,GWO,32,hybrid,500
F3,512,GWO,64,parallel,500
F3,512,GWO,64,hybrid,500
F3,512,HGT-GWO,1,serial,148
F3,512,HGT-GWO,2,parallel,500
F3,512,HGT-GWO,2,hybrid,500
