Function,Dimension,Algorithm,Cores,File Type,Convergence Iterations
F1,256,GWO,1,serial,179
F1,256,GWO,2,parallel,179
F1,256,GWO,2,hybrid,177
F1,256,GWO,4,parallel,179
F1,256,GWO,4,hybrid,183
F1,256,GWO,8,parallel,179
F1,256,GWO,8,hybrid,179
F1,256,GWO,16,parallel,179
F1,256,GWO,16,hybrid,179
F1,256,GWO,32,parallel,179
F1,256,GWO,32,hybrid,183
F1,256,GWO,64,parallel,179
F1,256,GWO,64,hybrid,176
F1,256,HGT-GWO,1,serial,79
F1,256,HGT-GWO,2,parallel,204
F1,256,HGT-GWO,2,hybrid,190
F1,256,HGT-GWO,4,parallel,204
F1,256,HGT-GWO,4,hybrid,207
F1,256,HGT-GWO,8,parallel,200
F1,256,HGT-GWO,8,hybrid,202
F1,256,HGT-GWO,16,parallel,212
F1,256,HGT-GWO,16,hybrid,194
F1,256,HGT-GWO,32,parallel,197
F1,256,HGT-GWO,32,hybrid,204
F1,256,HGT-GWO,64,parallel,203
F1,256,HGT-GWO,64,hybrid,211
F1,512,GWO,1,serial,305
F1,512,GWO,2,parallel,305
F1,512,GWO,2,hybrid,293
F1,512,GWO,4,parallel,305
F1,512,GWO,4,hybrid,304
F1,512,GWO,8,parallel,305
F1,512,GWO,8,hybrid,314
F1,512,GWO,16,parallel,305
F1,512,GWO,16,hybrid,311
F1,512,GWO,32,parallel,305
F1,512,GWO,32,hybrid,307
F1,512,GWO,64,parallel,299
F1,512,GWO,64,hybrid,304
F1,512,HGT-GWO,1,serial,96
F1,512,HGT-GWO,2,parallel,224
F1,512,HGT-GWO,2,hybrid,233
F1,512,HGT-GWO,4,parallel,223
F1,512,HGT-GWO,4,hybrid,226
F1,512,HGT-GWO,8,parallel,224
F1,512,HGT-GWO,8,hybrid,224
F1,512,HGT-GWO,16,parallel,221
F1,512,HGT-GWO,16,hybrid,228
F1,512,HGT-GWO,32,parallel,221
F1,512,HGT-GWO,32,hybrid,225
F1,512,HGT-GWO,64,parallel,237
F1,512,HGT-GWO,64,hybrid,232
F1,1024,GWO,1,serial,500
F1,1024,GWO,2,parallel,500
F1,1024,GWO,2,hybrid,500
