Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F1,256,GWO,1,serial,131.4
F1,256,GWO,2,parallel,117.071032
F1,256,GWO,2,hybrid,116.957598
F1,256,GWO,4,parallel,117.554219
F1,256,GWO,4,hybrid,118.472506
F1,256,GWO,8,parallel,116.561601
F1,256,GWO,8,hybrid,119.388389
F1,256,GWO,16,parallel,121.028398
F1,256,GWO,16,hybrid,122.231571
F1,256,GWO,32,parallel,123.704386
F1,256,GWO,32,hybrid,122.774275
F1,256,GWO,64,parallel,130.924318
F1,256,GWO,64,hybrid,137.432649
F1,256,HGT-GWO,1,serial,127.07
F1,256,HGT-GWO,2,parallel,97.502413
F1,256,HGT-GWO,2,hybrid,95.486684
F1,256,HGT-GWO,4,parallel,92.228221
F1,256,HGT-GWO,4,hybrid,96.922622
F1,256,HGT-GWO,8,parallel,92.436347
F1,256,HGT-GWO,8,hybrid,101.120758
F1,256,HGT-GWO,16,parallel,97.14482
F1,256,HGT-GWO,16,hybrid,101.226177
F1,256,HGT-GWO,32,parallel,99.378394
F1,256,HGT-GWO,32,hybrid,105.384845
F1,256,HGT-GWO,64,parallel,111.120599
F1,256,HGT-GWO,64,hybrid,110.566972
F1,512,GWO,1,serial,125.14
F1,512,GWO,2,parallel,126.439991
F1,512,GWO,2,hybrid,125.277262
F1,512,GWO,4,parallel,127.234603
F1,512,GWO,4,hybrid,124.761489
F1,512,GWO,8,parallel,124.28078
F1,512,GWO,8,hybrid,132.390491
F1,512,GWO,16,parallel,113.614843
F1,512,GWO,16,hybrid,113.642018
F1,512,GWO,32,parallel,135.378686
F1,512,GWO,32,hybrid,138.995103
F1,512,GWO,64,parallel,136.036545
F1,512,GWO,64,hybrid,146.622899
F1,512,HGT-GWO,1,serial,123.15
F1,512,HGT-GWO,2,parallel,100.763471
F1,512,HGT-GWO,2,hybrid,101.534619
F1,512,HGT-GWO,4,parallel,102.299335
F1,512,HGT-GWO,4,hybrid,102.839919
F1,512,HGT-GWO,8,parallel,98.583867
F1,512,HGT-GWO,8,hybrid,104.905183
F1,512,HGT-GWO,16,parallel,95.511108
F1,512,HGT-GWO,16,hybrid,92.420233
F1,512,HGT-GWO,32,parallel,108.541877
F1,512,HGT-GWO,32,hybrid,108.042676
F1,512,HGT-GWO,64,parallel,119.727746
F1,512,HGT-GWO,64,hybrid,120.040177
F1,1024,GWO,1,serial,145.1
F1,1024,GWO,2,parallel,130.379571
F1,1024,GWO,2,hybrid,133.074707
F1,1024,GWO,4,parallel,133.28666
F1,1024,GWO,4,hybrid,133.436529
F1,1024,GWO,8,parallel,129.076438
F1,1024,GWO,8,hybrid,135.428628
F1,1024,GWO,16,parallel,138.617369
F1,1024,GWO,16,hybrid,137.010076
F1,1024,GWO,32,parallel,130.083683
F1,1024,GWO,32,hybrid,138.46907
F1,1024,GWO,64,parallel,150.471819
F1,1024,GWO,64,hybrid,153.783477
F1,1024,HGT-GWO,1,serial,144.47
F1,1024,HGT-GWO,2,parallel,96.644322
F1,1024,HGT-GWO,2,hybrid,97.239941
F1,1024,HGT-GWO,4,parallel,98.277045
F1,1024,HGT-GWO,4,hybrid,99.042918
F1,1024,HGT-GWO,8,parallel,97.23955
F1,1024,HGT-GWO,8,hybrid,98.411547
F1,1024,HGT-GWO,16,parallel,103.029512
F1,1024,HGT-GWO,16,hybrid,101.423276
F1,1024,HGT-GWO,32,parallel,107.376073
F1,1024,HGT-GWO,32,hybrid,103.175913
F1,1024,HGT-GWO,64,parallel,118.457802
F1,1024,HGT-GWO,64,hybrid,116.076182
F2,256,GWO,1,serial,128.6
F2,256,GWO,2,parallel,112.866256
F2,256,GWO,2,hybrid,114.972237
F2,256,GWO,4,parallel,114.358936
F2,256,GWO,4,hybrid,115.972053
F2,256,GWO,8,parallel,114.803861
F2,256,GWO,8,hybrid,111.412956
F2,256,GWO,16,parallel,114.853612
F2,256,GWO,16,hybrid,119.652479
F2,256,GWO,32,parallel,116.425159
F2,256,GWO,32,hybrid,122.274595
F2,256,GWO,64,parallel,134.831359
F2,256,GWO,64,hybrid,131.211112
F2,256,HGT-GWO,1,serial,127.66
